trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
Spring_T01,08:00:00,08:00:00,1,1,Old Bryce Town,,,,,0,1
Spring_T01,08:01:00,08:01:00,2,2,Best Western / Grand,,,,,0.300000000000001,1
Spring_T01,08:03:00,08:03:00,3,3,Best Western / Ruby's Inn,,,,,0.821000000000002,1
Spring_T01,08:04:00,08:04:00,4,4,Ruby's - South,,,,,1.23,1
Spring_T01,08:06:00,08:06:00,5,5,Visitor's Center - South,,,,,1.852,1
Spring_T01,08:12:00,08:12:00,6,6,Sunset - South,,,,,5.122,1
Spring_T01,08:16:00,08:16:00,7,7,Bryce Point,,,,,7.24,1
Spring_T01,08:22:00,08:22:00,8,8,Inspiration Point,,,,,11.04,1
Spring_T01,08:29:00,08:29:00,9,9,Sunset - North,,,,,14.621,1
Spring_T01,08:31:00,08:31:00,10,10,Sunset Point,,,,,15.693,1
Spring_T01,08:34:00,08:34:00,11,11,Bryce Lodge,,,,,16.366,1
Spring_T01,08:38:00,08:38:00,12,12,Sunrise Point,,,,,17.532,1
Spring_T01,08:41:00,08:41:00,13,13,Visitor's Center - North,,,,,18.13,1
Spring_T01,08:45:00,08:45:00,14,14,Ruby's - North,,,,,19.873,1
Spring_T01,08:49:00,08:49:00,15,15,Shuttle Station,,,,,23.182,1
Spring_T01,08:50:00,08:50:00,1,16,,,,,,23.584,1
Spring_T02,08:20:00,08:20:00,1,1,Old Bryce Town,,,,,0,1
Spring_T02,08:21:00,08:21:00,2,2,Best Western / Grand,,,,,0.300000000000001,1
Spring_T02,08:23:00,08:23:00,3,3,Best Western / Ruby's Inn,,,,,0.821000000000002,1
Spring_T02,08:24:00,08:24:00,4,4,Ruby's - South,,,,,1.23,1
Spring_T02,08:26:00,08:26:00,5,5,Visitor's Center - South,,,,,1.852,1
Spring_T02,08:32:00,08:32:00,6,6,Sunset - South,,,,,5.122,1
Spring_T02,08:36:00,08:36:00,7,7,Bryce Point,,,,,7.24,1
Spring_T02,08:42:00,08:42:00,8,8,Inspiration Point,,,,,11.04,1
Spring_T02,08:49:00,08:49:00,9,9,Sunset - North,,,,,14.621,1
Spring_T02,08:51:00,08:51:00,10,10,Sunset Point,,,,,15.693,1
Spring_T02,08:54:00,08:54:00,11,11,Bryce Lodge,,,,,16.366,1
Spring_T02,08:58:00,08:58:00,12,12,Sunrise Point,,,,,17.532,1
Spring_T02,09:01:00,09:01:00,13,13,Visitor's Center - North,,,,,18.13,1
Spring_T02,09:05:00,09:05:00,14,14,Ruby's - North,,,,,19.873,1
Spring_T02,09:09:00,09:09:00,15,15,Shuttle Station,,,,,23.182,1
Spring_T02,09:10:00,09:10:00,1,16,,,,,,23.584,1
Spring_T03,08:40:00,08:40:00,1,1,Old Bryce Town,,,,,0,1
Spring_T03,08:41:00,08:41:00,2,2,Best Western / Grand,,,,,0.300000000000001,1
Spring_T03,08:43:00,08:43:00,3,3,Best Western / Ruby's Inn,,,,,0.821000000000002,1
Spring_T03,08:44:00,08:44:00,4,4,Ruby's - South,,,,,1.23,1
Spring_T03,08:46:00,08:46:00,5,5,Visitor's Center - South,,,,,1.852,1
Spring_T03,08:52:00,08:52:00,6,6,Sunset - South,,,,,5.122,1
Spring_T03,08:56:00,08:56:00,7,7,Bryce Point,,,,,7.24,1
Spring_T03,09:02:00,09:02:00,8,8,Inspiration Point,,,,,11.04,1
Spring_T03,09:09:00,09:09:00,9,9,Sunset - North,,,,,14.621,1
Spring_T03,09:11:00,09:11:00,10,10,Sunset Point,,,,,15.693,1
Spring_T03,09:14:00,09:14:00,11,11,Bryce Lodge,,,,,16.366,1
Spring_T03,09:18:00,09:18:00,12,12,Sunrise Point,,,,,17.532,1
Spring_T03,09:21:00,09:21:00,13,13,Visitor's Center - North,,,,,18.13,1
Spring_T03,09:25:00,09:25:00,14,14,Ruby's - North,,,,,19.873,1
Spring_T03,09:29:00,09:29:00,15,15,Shuttle Station,,,,,23.182,1
Spring_T03,09:30:00,09:30:00,1,16,,,,,,23.584,1
Spring_T04,09:00:00,09:00:00,1,1,Old Bryce Town,,,,,0,1
Spring_T04,09:01:00,09:01:00,2,2,Best Western / Grand,,,,,0.300000000000001,1
Spring_T04,09:03:00,09:03:00,3,3,Best Western / Ruby's Inn,,,,,0.821000000000002,1
Spring_T04,09:04:00,09:04:00,4,4,Ruby's - South,,,,,1.23,1
